PNR -> 911862373584,  Date -> 2023-08-23,  Coach_no -> 1,  Coach_type -> SL,  Berth_no -> 7,  Berth_type -> SL
PNR -> 689379627477,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 8,  Berth_type -> SU
PNR -> 689379627477,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 9,  Berth_type -> LB
PNR -> 689379627477,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 10,  Berth_type -> MB
PNR -> 689379627477,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 11,  Berth_type -> UB
PNR -> 3286912666556,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 12,  Berth_type -> LB
PNR -> 3286912666556,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 13,  Berth_type -> MB
PNR -> 3286912666556,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 14,  Berth_type -> UB
PNR -> 3286912666556,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 15,  Berth_type -> SL
PNR -> 3286912666556,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 16,  Berth_type -> SU
PNR -> 3286912666556,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 17,  Berth_type -> LB
PNR -> 3286912666556,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 18,  Berth_type -> MB
PNR -> 3286912666556,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 19,  Berth_type -> UB
PNR -> 3286912666556,  Date -> 2023-08-23,  Coach_no -> 3,  Coach_type -> SL,  Berth_no -> 20,  Berth_type -> LB
PNR -> 4056680318969,  Date -> 2023-08-23,  Coach_no -> 4,  Coach_type -> SL,  Berth_no -> 5,  Berth_type -> MB
PNR -> 4056680318969,  Date -> 2023-08-23,  Coach_no -> 4,  Coach_type -> SL,  Berth_no -> 6,  Berth_type -> UB
PNR -> 4056680318969,  Date -> 2023-08-23,  Coach_no -> 4,  Coach_type -> SL,  Berth_no -> 7,  Berth_type -> SL
PNR -> 4056680318969,  Date -> 2023-08-23,  Coach_no -> 4,  Coach_type -> SL,  Berth_no -> 8,  Berth_type -> SU
PNR -> 4056680318969,  Date -> 2023-08-23,  Coach_no -> 4,  Coach_type -> SL,  Berth_no -> 9,  Berth_type -> LB
PNR -> 4056680318969,  Date -> 2023-08-23,  Coach_no -> 4,  Coach_type -> SL,  Berth_no -> 10,  Berth_type -> MB
PNR -> 4067418042106,  Date -> 2023-08-23,  Coach_no -> 4,  Coach_type -> SL,  Berth_no -> 21,  Berth_type -> MB
PNR -> 4067418042106,  Date -> 2023-08-23,  Coach_no -> 4,  Coach_type -> SL,  Berth_no -> 22,  Berth_type -> UB
PNR -> 4067418042106,  Date -> 2023-08-23,  Coach_no -> 4,  Coach_type -> SL,  Berth_no -> 23,  Berth_type -> SL
PNR -> 4067418042106,  Date -> 2023-08-23,  Coach_no -> 4,  Coach_type -> SL,  Berth_no -> 24,  Berth_type -> SU
PNR -> 4067418042106,  Date -> 2023-08-23,  Coach_no -> 5,  Coach_type -> SL,  Berth_no -> 1,  Berth_type -> LB
PNR -> 384071157731,  Date -> 2023-08-23,  Coach_no -> 5,  Coach_type -> SL,  Berth_no -> 12,  Berth_type -> LB
PNR -> 384071157731,  Date -> 2023-08-23,  Coach_no -> 5,  Coach_type -> SL,  Berth_no -> 13,  Berth_type -> MB
PNR -> 384071157731,  Date -> 2023-08-23,  Coach_no -> 5,  Coach_type -> SL,  Berth_no -> 14,  Berth_type -> UB
PNR -> 384071157731,  Date -> 2023-08-23,  Coach_no -> 5,  Coach_type -> SL,  Berth_no -> 15,  Berth_type -> SL
PNR -> 384071157731,  Date -> 2023-08-23,  Coach_no -> 5,  Coach_type -> SL,  Berth_no -> 16,  Berth_type -> SU
PNR -> 384071157731,  Date -> 2023-08-23,  Coach_no -> 5,  Coach_type -> SL,  Berth_no -> 17,  Berth_type -> LB
PNR -> 4455062841553,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 5,  Berth_type -> MB
PNR -> 4455062841553,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 6,  Berth_type -> UB
PNR -> 4455062841553,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 7,  Berth_type -> SL
PNR -> 4455062841553,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 8,  Berth_type -> SU
PNR -> 4455062841553,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 9,  Berth_type -> LB
PNR -> 4455062841553,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 10,  Berth_type -> MB
PNR -> 3330919519827,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 20,  Berth_type -> LB
PNR -> 3330919519827,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 21,  Berth_type -> MB
PNR -> 3330919519827,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 22,  Berth_type -> UB
PNR -> 3330919519827,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 23,  Berth_type -> SL
PNR -> 3330919519827,  Date -> 2023-08-23,  Coach_no -> 6,  Coach_type -> SL,  Berth_no -> 24,  Berth_type -> SU
PNR -> 3330919519827,  Date -> 2023-08-23,  Coach_no -> 7,  Coach_type -> SL,  Berth_no -> 1,  Berth_type -> LB
PNR -> 3330919519827,  Date -> 2023-08-23,  Coach_no -> 7,  Coach_type -> SL,  Berth_no -> 2,  Berth_type -> MB
PNR -> 3330919519827,  Date -> 2023-08-23,  Coach_no -> 7,  Coach_type -> SL,  Berth_no -> 3,  Berth_type -> UB
PNR -> 3330919519827,  Date -> 2023-08-23,  Coach_no -> 7,  Coach_type -> SL,  Berth_no -> 4,  Berth_type -> LB
PNR -> 116899772618,  Date -> 2023-08-23,  Coach_no -> 8,  Coach_type -> SL,  Berth_no -> 1,  Berth_type -> LB
PNR -> 116899772618,  Date -> 2023-08-23,  Coach_no -> 8,  Coach_type -> SL,  Berth_no -> 2,  Berth_type -> MB
PNR -> 116899772618,  Date -> 2023-08-23,  Coach_no -> 8,  Coach_type -> SL,  Berth_no -> 3,  Berth_type -> UB
PNR -> 116899772618,  Date -> 2023-08-23,  Coach_no -> 8,  Coach_type -> SL,  Berth_no -> 4,  Berth_type -> LB
PNR -> 116899772618,  Date -> 2023-08-23,  Coach_no -> 8,  Coach_type -> SL,  Berth_no -> 5,  Berth_type -> MB
PNR -> 3844779438760,  Date -> 2023-08-23,  Coach_no -> 8,  Coach_type -> SL,  Berth_no -> 9,  Berth_type -> LB
PNR -> 3844779438760,  Date -> 2023-08-23,  Coach_no -> 8,  Coach_type -> SL,  Berth_no -> 10,  Berth_type -> MB
PNR -> 3844779438760,  Date -> 2023-08-23,  Coach_no -> 8,  Coach_type -> SL,  Berth_no -> 11,  Berth_type -> UB
PNR -> 3844779438760,  Date -> 2023-08-23,  Coach_no -> 8,  Coach_type -> SL,  Berth_no -> 12,  Berth_type -> LB
PNR -> 863555048674,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 8,  Berth_type -> SU
PNR -> 863555048674,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 9,  Berth_type -> LB
PNR -> 863555048674,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 10,  Berth_type -> MB
PNR -> 863555048674,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 11,  Berth_type -> UB
PNR -> 863555048674,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 12,  Berth_type -> LB
PNR -> 863555048674,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 13,  Berth_type -> MB
PNR -> 863555048674,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 14,  Berth_type -> UB
PNR -> 863555048674,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 15,  Berth_type -> SL
PNR -> 863555048674,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 16,  Berth_type -> SU
PNR -> 2080971534229,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 17,  Berth_type -> LB
PNR -> 2080971534229,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 18,  Berth_type -> MB
PNR -> 2080971534229,  Date -> 2023-08-23,  Coach_no -> 9,  Coach_type -> SL,  Berth_no -> 19,  Berth_type -> UB
